,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
434,Sri Lanka,4.440000057,1.009850144,1.259976387,0.6251308320000001,0.561213255,0.073653966,0.49086356200000003,0.419389248,2017,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,ASIA,142.0,Amber,120.0,34.0,Colombo,79.8528,6.92148
435,Armenia,4.375999928,0.900596738,1.0074837209999998,0.637524426,0.198303267,0.026674422000000003,0.083488092,1.5214991569999998,2017,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,ASIA,142.0,Amber,121.0,35.0,Yerevan,44.509,40.1596
436,India,4.315000057,0.7922212479999999,0.754372597,0.455427617,0.469987005,0.092226885,0.231538489,1.519117117,2017,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,ASIA,142.0,Amber,122.0,36.0,New Delhi,77.225,28.6353
437,Mauritania,4.291999817,0.648457289,1.27203083,0.28534928,0.09609804300000001,0.136957005,0.20187002399999998,1.651637316,2017,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg,AFRICA,2.0,Amber,123.0,19.0,Nouakchott,-15.9824,18.2367
438,Congo (Brazzaville),4.290999889,0.808964252,0.832044363,0.28995743399999996,0.435025871,0.07961813400000001,0.120852128,1.7241356369999998,2017,,,,Amber,124.0,5.0,,,
439,Georgia,4.285999775,0.9506126640000001,0.570614934,0.649546981,0.309410036,0.251666635,0.054008815,1.500137806,2017,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,ASIA,142.0,Amber,125.0,37.0,Tbilisi,44.793,41.71
440,Congo (Kinshasa),4.28000021,0.092102349,1.229023457,0.191407025,0.23596134800000002,0.060241355999999996,0.246455833,2.2249586580000003,2017,,,,Amber,126.0,6.0,,,
441,Mali,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.10497024699999999,0.183354199,1.668190956,2017,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,AFRICA,2.0,Amber,127.0,20.0,Bamako,-7.50034,13.5667
442,Ivory Coast,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.130061775,0.20123747,1.8449642659999999,2017,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,,Amber,128.0,3.0,,,
443,Cambodia,4.168000221000001,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968,1.042941093,2017,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,ASIA,142.0,Amber,129.0,38.0,Phnom Penh,104.874,11.5556
444,Sudan,4.138999939,0.6595166920000001,1.21400857,0.29092082399999997,0.014995855,0.08984752,0.18231745100000002,1.68706584,2017,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,AFRICA,2.0,Amber,130.0,21.0,Khartoum,32.5363,15.5932
445,Ghana,4.1199998860000004,0.6672248239999999,0.873664737,0.295637727,0.42302629399999997,0.02533637,0.25692394399999996,1.5778675080000002,2017,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,AFRICA,2.0,Amber,131.0,22.0,Accra,-0.20795,5.57045
446,Ukraine,4.096000195,0.8946519490000001,1.394537568,0.575903952,0.122974776,0.023029471,0.270061463,0.814382315,2017,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,EUROPE,150.0,Amber,132.0,38.0,Kiev,30.5038,50.4536
